# freq, freq_amplitude
1.500000000000000000e+00,5.795104716276546899e-07
1.533333333333333215e+00,5.775587395497763925e-07
1.566666666666666652e+00,9.278202213916802244e-07
1.600000000000000089e+00,7.544960099630464589e-07
1.633333333333333304e+00,6.990640913667784793e-07
1.666666666666666741e+00,4.458140887830420425e-07
1.699999999999999956e+00,1.013575982472916319e-06
1.733333333333333393e+00,1.028411540575102453e-06
1.766666666666666607e+00,5.109136438291448756e-07
1.800000000000000044e+00,3.240128216859045334e-07
1.833333333333333259e+00,5.745855476010168388e-07
1.866666666666666696e+00,1.040982510409235439e-07
1.899999999999999911e+00,2.221637773459429614e-07
1.933333333333333348e+00,7.001215160376832174e-07
1.966666666666666563e+00,1.081181514784185839e-06
2.000000000000000000e+00,2.893102604739500111e-07
2.033333333333333215e+00,6.179360394487548967e-07
2.066666666666666430e+00,3.572606160770947373e-07
2.100000000000000089e+00,6.767273762607022451e-07
2.133333333333333304e+00,5.093182658890900556e-07
2.166666666666666519e+00,4.636135582838341194e-07
2.200000000000000178e+00,8.765866814230108948e-08
2.233333333333333393e+00,5.973851143139747735e-07
2.266666666666666607e+00,4.061258680164520706e-07
2.299999999999999822e+00,3.735200336119701733e-07
2.333333333333333481e+00,5.084388322877979895e-07
2.366666666666666696e+00,2.670648062392427360e-07
2.399999999999999911e+00,1.387911777776483446e-07
2.433333333333333126e+00,3.601622556461033827e-07
2.466666666666666785e+00,6.943063699233747417e-07
2.500000000000000000e+00,2.926932411303243436e-07
2.533333333333333215e+00,4.955763860382203111e-07
2.566666666666666430e+00,3.311645830652982568e-07
2.600000000000000089e+00,3.758783799181962591e-07
2.633333333333333304e+00,2.177782716056706012e-07
2.666666666666666519e+00,2.028843766156869870e-07
2.700000000000000178e+00,4.595657081334895074e-07
2.733333333333333393e+00,1.445510781398402164e-07
2.766666666666666607e+00,4.002399928985042410e-07
2.799999999999999822e+00,1.855528570184844076e-07
2.833333333333333481e+00,4.130493645319150173e-07
2.866666666666666696e+00,4.196262627492653860e-07
2.899999999999999911e+00,1.744783441300795772e-07
2.933333333333333126e+00,3.855099871719585623e-07
2.966666666666666785e+00,1.742760958927407696e-07
3.000000000000000000e+00,5.222271878002713271e-07
3.033333333333333215e+00,2.710396673812941908e-07
3.066666666666666430e+00,2.089418407146090019e-07
3.100000000000000089e+00,1.544286383810337708e-07
3.133333333333333304e+00,3.591479596369950785e-07
3.166666666666666519e+00,1.613347610298146482e-07
3.200000000000000178e+00,1.672579156807172710e-07
3.233333333333333393e+00,2.667640477723010873e-07
3.266666666666666607e+00,3.971429911549174740e-07
3.299999999999999822e+00,4.145617840316207332e-07
3.333333333333333481e+00,2.504489828372079299e-07
3.366666666666666696e+00,8.957094680304469111e-08
3.399999999999999911e+00,2.217320411601897920e-07
3.433333333333333126e+00,3.111184430361537610e-07
3.466666666666666785e+00,2.234631368420478781e-07
3.500000000000000000e+00,2.043381867262003352e-08
3.533333333333333215e+00,4.114228846979043202e-07
3.566666666666666430e+00,1.223217482590627646e-07
3.600000000000000089e+00,2.034886492032942341e-07
3.633333333333333304e+00,2.471529216613866659e-07
3.666666666666666519e+00,1.045302191693168542e-07
3.699999999999999734e+00,3.418301512555145323e-07
3.733333333333333393e+00,3.592521314663582803e-07
3.766666666666666607e+00,1.180793741181137432e-07
3.799999999999999822e+00,2.204529974637844840e-07
3.833333333333333481e+00,1.276822291331862976e-07
3.866666666666666696e+00,4.442280359252814476e-07
3.899999999999999911e+00,2.499966107869045929e-07
3.933333333333333126e+00,3.430932709566272453e-07
3.966666666666666785e+00,6.048738704622419452e-08
4.000000000000000000e+00,1.327142385419382668e-07
4.033333333333333215e+00,3.597012604980175637e-07
4.066666666666666430e+00,1.374124371304666421e-07
4.099999999999999645e+00,4.264333790018055725e-07
4.133333333333332860e+00,1.760806395347145496e-07
4.166666666666666963e+00,1.963682652000195086e-07
4.200000000000000178e+00,3.283383845457676818e-07
4.233333333333333393e+00,4.302937038582535492e-07
4.266666666666666607e+00,5.825499057803321845e-07
4.299999999999999822e+00,1.957916756505102088e-07
4.333333333333333037e+00,2.359832383348125291e-07
4.366666666666666252e+00,1.402595515165950440e-07
4.400000000000000355e+00,1.619128402287868588e-07
